,name,bus_longitude,bus_latitude
0,Rebhuhnweg,13.5580236,52.5448333
1,Rebhuhnweg,13.5577215,52.54510179999999
2,Ludwigsfelder Straße/Sachtlebenstraße,13.2501119,52.4188459
3,Brunnenstraße/Invalidenstraße,13.399477,52.5320235
4,Rübezahl,13.6292634,52.4239824
5,Hoppendorfer Straße,13.570253699999999,52.47389329999999
6,Fachinger Straße,13.1325344,52.5405285
7,Zentralfriedhof,13.5076501,52.5145532
8,Otisstraße/Quäkerstraße,13.305681699999997,52.5753443
9,Otisstraße/Wittestraße,13.307333199999999,52.57692289999999
10,Auguste-Viktoria-Allee/Quäkerstraße,13.308857999999999,52.572069400000004
11,Uranusweg,13.3170693,52.56661410000001
12,Eichborndamm/Antonienstraße,13.311587300000003,52.571595200000004
13,Kienhorststraße,13.313108999999999,52.57502629999999
14,Kienhorststraße,13.314435699999999,52.5744835
15,Köhlerstraße,13.289425099999999,52.4353784
16,Johanneskirchplatz,13.293535999999998,52.436952500000004
17,Baseler Straße,13.295187699999998,52.43763440000001
18,Heidebergplan,13.1473195,52.541267000000005
19,Preysingstraße,13.3645202,52.4273331
20,Ollenhauerstraße/Lindauer Allee,13.3324649,52.5760245
21,Rotbuchenweg,13.320502,52.583405000000006
22,U Leinestraße,13.428771300000001,52.472428799999996
23,U Rathaus Reinickendorf,13.3249857,52.5888336
24,U Holzhauser Straße,13.2945601,52.576952299999995
25,U Paracelsus-Bad,13.3476073,52.5752855
26,U Paracelsus-Bad,13.347072400000002,52.5745686
27,Schildhorn,13.1995997,52.494740799999995
28,U Lindauer Allee,13.337924300000001,52.5752247
29,S+U Karl-Bonhoeffer-Nervenklinik,13.3334673,52.5793491
30,Innungsstraße,13.3088746,52.57911329999999
31,Holzhauser Straße/Schubartstraße,13.3048887,52.5815915
32,Schubartstraße/Ernststraße,13.3025046,52.5841438
33,Miraustraße,13.309650099999999,52.58409350000001
34,S Tegel,13.288403299999999,52.5884912
35,Paulstraße,13.355509099999999,52.520028
36,Turmstraße/Rathenower Straße,13.3543717,52.5265254
37,Alt-Buch/Wiltbergstraße,13.4971975,52.634226399999996
38,Alt-Buch/Wiltbergstraße,13.4971351,52.6345649
39,Theodor-Brugsch-Straße,13.4993301,52.6309676
40,Theodor-Brugsch-Straße,13.4990918,52.6300355
41,Moritzstraße,13.2008101,52.5383386
42,S+U Rathaus Spandau,13.1997152,52.53566039999999
43,Wröhmännerpark,13.2061876,52.542082799999996
44,Wröhmännerpark,13.2055836,52.5419316
45,Kirchhofstraße,13.2076508,52.54502610000001
46,Kirchhofstraße,13.2085052,52.5455615
47,Hügelschanze,13.2010101,52.54825160000001
48,Hügelschanze,13.200615599999999,52.5488676
49,Predigergarten,13.2040721,52.5450761
50,Predigergarten,13.203384,52.545468400000004
51,Turmstraße/Beusselstraße,13.3296429,52.527183799999996
52,Turmstraße/Beusselstraße,13.3288063,52.5279396
53,Alt-Moabit/Gotzkowskystraße,13.3306885,52.523832299999995
54,Alt-Moabit/Gotzkowskystraße,13.330975599999999,52.524058999999994
55,Alt-Moabit/Gotzkowskystraße,13.329922400000001,52.524204299999994
56,Alt-Moabit/Gotzkowskystraße,13.329689300000002,52.5241593
57,Alt-Friedrichsfelde 60,13.524583400000001,52.5097428
58,Kiefheider Weg,13.238848499999998,52.61949920000001
59,S Schulzendorf,13.2461728,52.6136421
60,Diakoniezentrum Heiligensee,13.2528105,52.6109173
61,Ziegenorter Pfad,13.2340084,52.6222995
62,Krantorweg,13.224511999999999,52.6227375
63,Dorfaue,13.2103699,52.6065376
64,Alt-Heiligensee,13.211929800000002,52.6065762
65,Heiligenseestraße/Hennigsdorfer Straße,13.2171577,52.61146070000001
66,Schönbaumer Weg,13.218871,52.614418900000004
67,Mattenbuder Pfad,13.2207321,52.617162300000004
68,Kurzebracker Weg,13.222710800000002,52.619986499999996
69,Forstamt Tegel,13.2695163,52.6048762
70,Heiligenseestraße/Ruppiner Chaussee,13.274842300000001,52.5983723
71,Reuchlinstraße,13.324439800000002,52.527777799999996
72,Reuchlinstraße,13.323371599999998,52.528044900000005
73,Wiebestraße/Huttenstraße,13.3198902,52.5284174
74,Wiebestraße/Huttenstraße,13.3201729,52.5282134
75,Neues Ufer,13.3150835,52.5295562
76,Neues Ufer,13.316046,52.5290463
77,Brienzer Straße,13.3596021,52.5620134
78,Spandauer Straße/Marienkirche,13.4058018,52.5203132
79,Spandauer Straße/Marienkirche,13.406158499999998,52.5209215
80,S Grunewald,13.2596163,52.4889363
81,Alte Allee,13.263392000000001,52.4917285
82,Alte Allee,13.263536300000002,52.4919813
83,Kiefernweg,13.265255999999999,52.4932064
84,Kiefernweg,13.2654429,52.4934897
85,Maikäferpfad,13.266798000000001,52.4944279
86,Maikäferpfad,13.266891199999998,52.4946289
87,S Messe Süd,13.270080599999998,52.496993700000004
88,Jafféstraße,13.273075199999997,52.499648300000004
89,Jafféstraße,13.2733884,52.49964739999999
90,Messegelände/Verwaltung,13.275283800000002,52.5011555
91,Messegelände/Verwaltung,13.275082199999998,52.5012328
92,Messegelände/ICC,13.279731400000001,52.5044754
93,Messegelände/ICC,13.279234200000001,52.5044802
94,U Kaiserdamm,13.2815083,52.5106334
95,U Kaiserdamm,13.281949599999999,52.5104436
96,Zillestraße,13.296575899999999,52.5136938
97,Zillestraße,13.297133800000001,52.5129141
98,Seelingstraße,13.296691500000001,52.516730700000004
99,Seelingstraße,13.296242699999999,52.5157314
100,Schloss Charlottenburg,13.2963489,52.5188255
101,Luisenplatz/Schloss Charlottenburg,13.299686999999999,52.520074
102,Luisenplatz/Schloss Charlottenburg,13.2995082,52.519160899999996
103,U Mierendorffplatz,13.3051131,52.52579229999999
104,U Mierendorffplatz,13.3059,52.5260178
105,Ilsenburger Straße,13.309487599999999,52.5256566
106,Ilsenburger Straße,13.3102887,52.525833999999996
107,Goslarer Platz,13.314219,52.5258442
108,Goslarer Platz,13.3142951,52.5256956
109,Arnimallee,13.299861300000002,52.4580086
110,Arnimallee,13.2992959,52.457774699999995
111,Keplerstraße,13.305005800000002,52.5282797
112,S+U Jungfernheide,13.3006208,52.52946239999999
113,Reichstag/Bundestag,13.376521799999999,52.517670499999994
114,U Unter den Linden,13.389927499999999,52.51681729999999
115,Corneliusbrücke,13.348797099999999,52.5075478
116,Corneliusbrücke,13.348382999999998,52.5076011
117,S+U Potsdamer Platz,13.378561,52.509513399999996
118,S+U Potsdamer Platz,13.378120499999998,52.5097353
119,Schillstraße,13.3490636,52.50288079999999
120,Schillstraße,13.3499726,52.502748600000004
121,Lauenburger Platz,13.3391804,52.4621056
122,Lauenburger Platz,13.339433499999998,52.461418200000004
123,Auguste-Viktoria-Klinikum Süd,13.3451603,52.461485200000006
124,Knausplatz,13.3390559,52.4641741
125,Knausplatz,13.339403400000002,52.4646077
126,Knausplatz,13.3385517,52.464434700000005
127,Torgauer Straße,13.3608141,52.4794912
128,Torgauer Straße,13.361598,52.479328599999995
129,Leuthener Straße,13.361488099999999,52.4812162
130,Gustav-Müller-Platz,13.361530800000002,52.4833539
131,Gustav-Müller-Platz,13.361343300000001,52.4838429
132,S Julius-Leber-Brücke,13.3608059,52.48635989999999
133,S Julius-Leber-Brücke,13.3611155,52.4859846
134,Hohenfriedbergstraße,13.365167900000001,52.4850213
135,Kesselsdorfstraße,13.367507199999999,52.4849942
136,Kesselsdorfstraße,13.3682465,52.4851741
137,Leuthener Straße,13.360610399999999,52.4814457
138,S+U Neukölln,13.4415705,52.4693253
139,Krankenhaus Köpenick/Südseite,13.592808100000001,52.4391675
140,Dennewitzplatz,13.366504699999998,52.4957801
141,Hertzallee,13.333557199999998,52.5088826
142,Hertzallee,13.332077900000002,52.5092144
143,U Kurfürstendamm,13.3301923,52.50371020000001
144,Friedrich-Hollaender-Platz,13.3310658,52.5010424
145,Friedrich-Hollaender-Platz,13.3303367,52.5005676
146,Lietzenburger Straße/Uhlandstraße,13.325943900000002,52.5002127
147,Lietzenburger Straße/Uhlandstraße,13.325315300000002,52.499912699999996
148,Pariser Straße,13.324128699999997,52.497320900000005
149,Pariser Straße,13.324524300000002,52.4977572
150,U Hohenzollernplatz,13.323359699999997,52.4931598
151,U Hohenzollernplatz,13.323703400000001,52.4933302
152,Güntzelstraße/Uhlandstraße,13.323026500000001,52.491260700000005
153,Güntzelstraße/Uhlandstraße,13.323416199999999,52.4918118
154,Fechnerstraße,13.3226545,52.488928200000004
155,Fechnerstraße,13.323028299999999,52.489867700000005
156,Brabanter Platz,13.3163191,52.4818988
157,Brabanter Platz,13.315239199999999,52.481780500000006
158,S+U Heidelberger Platz,13.3121728,52.4802198
159,S+U Heidelberger Platz,13.3118305,52.479728599999994
160,Mecklenburgische Straße/Binger Straße,13.308797400000001,52.4783774
161,Rudolf-Mosse-Platz,13.303408,52.47541329999999
162,Rudolf-Mosse-Platz,13.303785699999999,52.475343200000005
163,Zoppoter Straße,13.298353,52.473451100000005
164,Zoppoter Straße,13.2994038,52.4731823
165,Schmargendorf Kirche,13.294059900000002,52.4743885
166,Schmargendorf Kirche,13.294916699999998,52.47388929999999
167,Berkaer Straße/Breite Straße,13.2907063,52.4754466
168,Berkaer Straße/Breite Straße,13.290695499999998,52.47504059999999
169,Rathaus Schmargendorf,13.2884234,52.4770574
170,Rathaus Schmargendorf,13.287781200000001,52.477348600000006
171,Elsterplatz,13.285538199999998,52.4792517
172,Elsterplatz,13.285894899999999,52.4791828
173,Elsterplatz,13.2846943,52.47942679999999
174,Roseneck,13.2817935,52.476317099999996
175,Moritzstraße,13.2006478,52.5388939
176,U Leinestraße,13.4283804,52.472668799999994
177,S+U Lichtenberg,13.498984900000002,52.5104014
178,Boxhagener Platz,13.460444,52.511238899999995
179,Boxhagener Platz,13.4599363,52.511200699999996
180,Köpenicker Straße/Innovationspark,13.559035,52.471693099999996
181,Ottostraße,13.333756900000001,52.524373600000004
182,Ottostraße,13.3352473,52.5248662
183,Freiaplatz,13.4977702,52.5158409
184,Freiaplatz,13.498807300000001,52.516041200000004
185,Freiaplatz,13.4986751,52.515475300000006
186,Markgrafendamm,13.4656563,52.499247200000006
187,U Wittenbergplatz,13.3417324,52.502356799999994
188,Planetenstraße,13.4641736,52.4666145
189,Planetenstraße,13.464675699999999,52.467105700000005
190,Zum Heckeshorn,13.161068400000001,52.4304355
191,Götelstraße,13.2033815,52.52373370000001
192,Götelstraße,13.202328699999999,52.5236549
193,Tiefwerderweg,13.2070179,52.5260313
194,Alt-Buch/Wiltbergstraße,13.4969148,52.634841
195,Alt-Buch/Wiltbergstraße,13.497456099999999,52.634777299999996
196,Persiusstraße,13.462072299999999,52.500778000000004
197,Persiusstraße,13.461767000000002,52.5009645
198,U Franz-Neumann-Platz,13.3660279,52.562852
199,Manteuffelstraße/Köpenicker Straße,13.431839499999999,52.50551779999999
200,Manteuffelstraße/Köpenicker Straße,13.431910199999999,52.505858999999994
201,Bethaniendamm,13.428616199999999,52.5072959
202,Eisenbahnstraße,13.4345432,52.5045527
203,Eisenbahnstraße,13.435310399999999,52.5043971
204,Bethaniendamm,13.428689199999999,52.507069900000005
205,Manteuffelstraße/Köpenicker Straße,13.4322489,52.505540599999996
206,Hähnelstraße,13.3396878,52.4753199
207,S Lichterfelde Süd,13.3086315,52.4107921
208,Uhlandstraße/Kantstraße,13.3249938,52.50577510000001
209,Savignyplatz,13.322030499999999,52.5059519
210,Savignyplatz,13.3227332,52.505678599999996
211,Schlüterstraße,13.317972400000002,52.506173200000006
212,Schlüterstraße,13.3172005,52.505981299999995
213,Kantstraße/Leibnizstraße,13.314352800000002,52.506374699999995
214,Kantstraße/Leibnizstraße,13.313480499999999,52.5061906
215,Kantstraße/Leibnizstraße,13.313779199999999,52.506521299999996
216,Kantstraße/Leibnizstraße,13.313997500000001,52.5059971
217,Goethestraße,13.314219099999999,52.5090834
218,Goethestraße,13.3143865,52.5086678
219,U Wilmersdorfer Straße,13.3069066,52.5067846
220,U Wilmersdorfer Straße,13.3063691,52.50658979999999
221,Kuno-Fischer-Straße,13.2895755,52.5067402
222,Kuno-Fischer-Straße,13.2901984,52.5065603
223,Manteuffelstraße/Köpenicker Straße,13.4316986,52.505520600000004
224,S+U Innsbrucker Platz,13.3438119,52.4780519
225,Edwin-Redslob-Straße,13.2944484,52.457938799999994
226,Edwin-Redslob-Straße,13.2953723,52.45800210000001
227,Breslauer Platz,13.335424599999998,52.4718564
228,Luxemburger Straße,13.355267000000001,52.5443549
229,Radieschenpfad,13.553042000000001,52.569592500000006
230,Radieschenpfad,13.555019400000003,52.57010329999999
231,Am Gehrensee,13.5641405,52.57215849999999
232,Am Gehrensee,13.5647271,52.57248979999999
233,Gielsdorfer Straße,13.6059309,52.5096821
234,Neuenhagener Straße,13.608940599999999,52.509269700000004
235,Amalienstraße,13.333188199999999,52.42984860000001
236,Amalienstraße,13.3336228,52.430164399999995
237,Kaiser-Wilhelm-Straße/Seydlitzstraße,13.338391699999999,52.4322074
238,Kaiser-Wilhelm-Straße/Seydlitzstraße,13.337918300000002,52.431664299999994
239,Cecilienstraße/Blumberger Damm,13.565057000000001,52.5291985
240,Marchandstraße,13.357285300000001,52.4231025
241,Marchandstraße,13.357501999999998,52.4232829
242,Friedrichrodaer Straße,13.358557999999999,52.420559399999995
243,Friedrichrodaer Straße,13.3589307,52.420437799999995
244,Bürgerablage,13.2069886,52.5844256
245,Bürgerablage,13.207459400000001,52.5842821
246,Steinstücken,13.129835,52.38892
247,Steinstücken,13.129928699999999,52.3891759
248,Lübarser Weg,13.3826237,52.6298753
249,Oberhofer Platz,13.327876999999999,52.424392700000006
250,Oberhofer Platz,13.328823000000002,52.4246244
251,Eichborndamm/Antonienstraße,13.3119234,52.5719128
252,Eichborndamm/Antonienstraße,13.3123299,52.5716166
253,U Leopoldplatz,13.358488399999999,52.546935
254,U Leopoldplatz,13.359434699999998,52.54673879999999
255,Foxweg,13.307689800000002,52.574271700000004
256,Foxweg,13.308191599999999,52.5738792
257,Auguste-Viktoria-Allee/Quäkerstraße,13.308422699999998,52.5720292
258,Eichborndamm/Antonienstraße,13.3132269,52.571175399999994
259,General-Woyna-Straße,13.317573699999999,52.57075989999999
260,General-Woyna-Straße,13.3163351,52.571013199999996
261,Zobeltitzstraße,13.317248699999999,52.568788600000005
262,Zobeltitzstraße,13.3171968,52.569151
263,Uranusweg,13.317573699999999,52.5666744
264,U Kurt-Schumacher-Platz,13.327342699999999,52.563322
265,U Kurt-Schumacher-Platz,13.326882300000001,52.5633496
266,Kapweg,13.3311797,52.56300649999999
267,Kapweg,13.3313381,52.5629069
268,U Osloer Straße/Tromsöer Straße,13.3729525,52.557578500000005
269,U Osloer Straße/Tromsöer Straße,13.372932999999998,52.557196
270,U Osloer Straße,13.3735234,52.55649939999999
271,S Eichborndamm,13.314636300000002,52.577335399999996
272,S Eichborndamm,13.3154613,52.5773058
273,U Paracelsus-Bad,13.347037599999998,52.574330200000006
274,U Paracelsus-Bad,13.347997,52.5754062
275,Ollenhauerstraße/Lindauer Allee,13.33281,52.5753473
276,Ollenhauerstraße/Lindauer Allee,13.331574300000002,52.5755961
277,Ollenhauerstraße/Lindauer Allee,13.3317705,52.575048200000005
278,U Lindauer Allee,13.339144000000001,52.5754715
279,Wilhelmsruher Damm/Treuenbrietzener Straße,13.359512200000001,52.5969679
280,Otisstraße/Wittestraße,13.3073429,52.576774699999994
281,Vom Guten Hirten,13.361503699999998,52.4157846
282,Vom Guten Hirten,13.361700099999998,52.4158244
283,Nahmitzer Damm/Motzener Straße,13.3765106,52.408436200000004
284,Barnetstraße/Steinstraße,13.3990807,52.3954315
285,Barnetstraße/Steinstraße,13.3986585,52.3957582
286,Finchleystraße,13.404494400000003,52.3936957
287,Lichtenrader Damm/Barnetstraße,13.4057479,52.393865000000005
288,Lichtenrader Damm/Barnetstraße,13.407510199999999,52.3937027
289,Im Domstift/Groß-Ziethener Straße,13.4102427,52.3942311
290,Im Domstift/Groß-Ziethener Straße,13.4120989,52.3942978
291,Volkspark Lichtenrade,13.416348699999999,52.394551
292,Volkspark Lichtenrade,13.4159219,52.3946289
293,Skarbinastraße,13.420008900000001,52.3921844
294,Zur Haveldüne,13.179669,52.5031255
295,Gatower Straße/Weinmeisterhornweg,13.1803672,52.5094715
