,name,station_category,metro_longitude,metro_latitude
0,S Tiergarten,4.0,13.336450400000002,52.5143746
1,S Storkower Straße,4.0,13.4648885,52.52374320000001
2,S Jannowitzbrücke,4.0,13.4194925,52.51421460000001
3,S Westend,4.0,13.2844201,52.5180135
4,S Wannsee,2.0,13.1798077,52.4214071
5,S Heerstraße,5.0,13.2598587,52.5078537
6,S Pichelsberg,5.0,13.2276304,52.5101503
7,S Hohenzollerndamm,4.0,13.3002415,52.488627
8,S Grunewald,4.0,13.2610104,52.48824789999999
9,S Bellevue,4.0,13.3480704,52.519985
10,Berlin Zoologischer Garten,2.0,13.3325608,52.50743420000001
11,U Ruhleben,,13.2414191,52.52567439999999
12,Valentinswerder,,13.229331,52.5647689
13,S Karow,4.0,13.4694647,52.61521479999999
14,S Messe Süd (Eichkamp),5.0,13.2702326,52.4986377
15,U Amrumer Straße,,13.3501546,52.54233320000001
16,U Zoologischer Garten,,13.3330236,52.5058669
17,U Kurfürstendamm,,13.3314365,52.5038223
18,U Güntzelstraße,,13.3310064,52.4920843
19,U Berliner Straße,,13.3310103,52.4873298
20,U Friedrich-Wilhelm-Platz,,13.3287301,52.47212170000001
21,U Walther-Schreiber-Platz,,13.3282601,52.4653254
22,U Schloßstraße,,13.3250946,52.461481000000006
23,U Rathaus Steglitz,,13.3209344,52.4567983
24,S Beusselstraße,4.0,13.329387300000002,52.5344077
25,U Theodor-Heuss-Platz,,13.2722217,52.5099869
26,U Neu-Westend,,13.2592357,52.5162154
27,U Deutsche Oper,,13.3105328,52.511837
28,U Ernst-Reuter-Platz,,13.3221613,52.5118853
29,U Lindauer Allee,,13.338425099999998,52.5754161
30,U Jannowitzbrücke,,13.418173199999998,52.5153554
31,U Innsbrucker Platz,,13.3436736,52.478987
32,S Rummelsburg,4.0,13.478367,52.501288
33,Berlin-Lichtenberg,2.0,13.496140400000002,52.50978320000001
34,S Friedrichsfelde Ost,4.0,13.520088,52.5141126
35,U Bayerischer Platz,,13.340543599999998,52.4885755
36,S Poelchaustraße,5.0,13.535577599999998,52.5358712
37,S Raoul-Wallenberg-Straße,5.0,13.5475595,52.55073340000001
38,S Mehrower Allee,5.0,13.5535509,52.557608
39,S Marzahn,4.0,13.5413545,52.54365479999999
40,S+U Wuhletal,,13.5752134,52.5126122
41,S Mahlsdorf,4.0,13.610412599999998,52.51209029999999
42,S Hirschgarten,5.0,13.6031386,52.45790329999999
43,S Spindlersfeld,5.0,13.5615738,52.4468976
44,S Rathaus Steglitz,4.0,13.322499800000005,52.4555293
45,Berlin Alexanderplatz,3.0,13.4110794,52.5214574
46,S Brandenburger Tor,4.0,13.3818418,52.516441500000006
47,S Gehrenseestraße,5.0,13.524762300000004,52.5564975
48,S Hohenschönhausen,3.0,13.5124988,52.5662755
49,S Wartenberg,5.0,13.503832199999998,52.572982
50,S Marienfelde,5.0,13.3746844,52.42421220000001
51,U Hermannstraße,,13.4314659,52.4672622
52,U Bismarckstraße,,13.3052393,52.51151479999999
53,U Richard-Wagner-Platz,,13.306588,52.517387
54,S Westkreuz,3.0,13.2839193,52.5007919
55,Fähre Familie Burchardi,,13.2259948,52.5733302
56,Tegelort,,13.2277346,52.5681452
57,Fährstation Lindwerder,,13.1934096,52.4672052
58,U Eisenacher Straße,,13.350169400000002,52.4895529
59,U Rathaus Reinickendorf,,13.3259254,52.5883733
60,S Julius-Leber-Brücke,5.0,13.3611679,52.4865053
61,U Südstern,,13.4076671,52.4892983
62,Albrechtshof,5.0,13.1292803,52.54930970000001
63,U Yorckstraße,,13.3706891,52.4929715
64,U Friedrichsfelde,,13.5128387,52.5061644
65,Hakenfelde,,13.2261648,52.5677306
66,Berlin-Charlottenburg,3.0,13.302644699999998,52.5043157
67,S Frankfurter Allee,4.0,13.4745707,52.5149375
68,Anlegestelle Greenwichpromenade,,13.2737899,52.5874559
69,Saatwinkel,,13.2400979,52.56111110000001
70,,,13.246734699999998,52.5752244
71,Schulfarm Insel Scharfenberg (Landseite),,13.2452791,52.5756875
72,U Gneisenaustraße,,13.3958247,52.4912895
73,S Treptower Park,4.0,13.4618296,52.49384910000001
74,S Olympiastadion,3.0,13.242828,52.5112644
75,Berlin Südkreuz,1.0,13.3660396,52.4765716
76,S Schulzendorf (b Tegel),5.0,13.2460234,52.6129169
77,Rosengarten,,13.412186800000002,52.43230989999999
78,Heidehof,,13.4216389,52.4289143
79,U Kaiserdamm,,13.2831263,52.5100921
80,S Schönhauser Allee,4.0,13.415595499999998,52.549243
81,S Heidelberger Platz,4.0,13.3114364,52.4802953
82,S Friedrichshagen,4.0,13.6232934,52.45737629999999
83,S Wuhlheide,5.0,13.5543359,52.4685507
84,S Grünbergallee,5.0,13.5419036,52.3992998
85,,,13.238230499999998,52.5611358
86,Berlin-Wannsee,2.0,13.1800603,52.421199
87,Berlin Gesundbrunnen,1.0,13.3902169,52.5486453
