,name,tramway_longitude,tramway_latitude
0,Regattastraße/Sportpromenade,13.5983058,52.4104296
1,Seestraße/Amrumer Straße,13.3448955,52.5467137
2,Schönhauser Allee/Bornholmer Straße,13.4138898,52.5537705
3,Björnsonstraße,13.4026406,52.5552992
4,Schönhauser Allee/Bornholmer Straße,13.4144934,52.5542024
5,Stahlheimer Straße/Wisbyer Straße,13.4238019,52.5527208
6,Prenzlauer Allee/Ostseestraße,13.4295126,52.5514112
7,Prenzlauer Allee/Ostseestraße,13.4300239,52.5507797
8,Prenzlauer Promenade/Am Steinberg,13.4299757,52.5566797
9,S Prenzlauer Allee,13.427615,52.5452352
10,Prenzlauer Allee/Danziger Straße,13.4244774,52.5396527
11,Prenzlauer Allee/Danziger Straße,13.4239921,52.5387517
12,Prenzlauer Allee/Danziger Straße,13.4247224,52.5390557
13,Winsstraße,13.4280022,52.5378916
14,Winsstraße,13.4294221,52.5374399
15,Masurenstraße,13.4127866,52.5632037
16,Galenusstraße,13.4286019,52.5818061
17,S Pankow-Heinersdorf,13.4276065,52.5773178
18,Mendelstraße,13.4192595,52.5750424
19,Pankow Kirche,13.4106462,52.5711693
20,Rosenthaler Straße,13.4328707,52.5963302
21,Pastor-Niemöller-Platz,13.3971487,52.5800861
22,Am Iderfenngraben,13.3921124,52.5826197
23,Pasedagplatz,13.4602303,52.5599523
24,Sulzfelder Straße,13.4760326,52.5533362
25,Hansastraße/Buschallee,13.480374,52.5531858
26,Hansastraße/Buschallee,13.4805827,52.5537608
27,Feldtmannstraße,13.4957441,52.559939
28,Hansastraße/Malchower Weg,13.4999139,52.5613788
29,Altenhofer Straße,13.4796281,52.5351119
30,Landsberger Allee/Weißenseer Weg,13.476705,52.532258
31,Prerower Platz,13.5063374,52.5636616
32,Prerower Platz,13.5046117,52.5638559
33,Zingster Straße/Ribnitzer Straße,13.4973963,52.5701623
34,Prendener Straße,13.5203133,52.5685744
35,Ahrenshooper Straße,13.5020039,52.5661358
36,Falkenberg,13.5265911,52.5698506
37,Gehrenseestraße,13.5091772,52.5508154
38,Oderbruchstraße,13.4615084,52.5304884
39,Zechliner Straße,13.4869072,52.5339119
40,Genslerstraße,13.4948771,52.53439
41,Arendsweg,13.5066484,52.5349408
42,Landsberger Allee/Rhinstraße,13.5181868,52.5357322
43,Dingelstädter Straße,13.5244371,52.5366428
44,Gewerbepark Georg Knorr,13.5341226,52.5390995
45,Freizeitforum Marzahn,13.5573621,52.5465019
46,Max-Herrmann-Straße,13.565478,52.5537187
47,Jan-Petersen-Straße,13.5619425,52.5472111
48,Wuhletalstraße,13.5682656,52.5577949
49,Niemegker Straße,13.5718576,52.5650166
50,Barnimplatz,13.5747394,52.5682711
51,Ahrensfelde/Stadtgrenze,13.5741703,52.5726002
52,Landsberger Allee/Blumberger Damm,13.5727623,52.5464096
53,Brodowiner Ring,13.5787187,52.5479864
54,Landsberger Chaussee/Zossener Straße,13.5871358,52.5490935
55,Michendorfer Straße,13.5874362,52.5454634
56,Zossener Straße/Kastanienallee,13.5989829,52.5438862
57,Riesaer Straße/Louis-Lewin-Straße,13.6211499,52.5307469
58,Riesaer Straße,13.6234797,52.5293723
59,Beilsteiner Straße,13.5302267,52.5254798
60,Allee der Kosmonauten/Rhinstraße,13.5211177,52.5258353
61,Allee der Kosmonauten/Rhinstraße,13.5196343,52.5254439
62,Meeraner Straße,13.5192685,52.5294311
63,Landsberger Allee/Rhinstraße,13.5167808,52.5362433
64,Rhinstraße/Plauener Straße,13.5146099,52.539004
65,Ev. Krankenhaus KEH,13.5084195,52.5254615
66,Roederplatz,13.4784194,52.5266198
67,Karl-Lade-Straße,13.4626653,52.5291972
68,Möllendorffstraße/Storkower Straße,13.4795469,52.523331
69,Spandauer Straße/Marienkirche,13.4042441,52.5204243
70,U Alexanderplatz,13.4147332,52.5221645
71,Mollstraße/Otto-Braun-Straße,13.4204682,52.5249909
72,Mollstraße/Otto-Braun-Straße,13.4202755,52.5255473
73,S+U Alexanderplatz/Gontardstraße,13.4115103,52.5208822
74,U Oranienburger Tor,13.3873633,52.5258817
75,U Rosa-Luxemburg-Platz,13.4108348,52.528517
76,S+U Alexanderplatz/Memhardstraße,13.4116514,52.5236711
77,Mollstraße/Prenzlauer Allee,13.4165112,52.5278448
78,Prenzlauer Allee/Metzer Straße,13.4195316,52.5312158
79,Knaackstraße,13.4208487,52.5334285
80,Marienburger Straße,13.4225029,52.5362333
81,Thomas-Mann-Straße,13.4416553,52.5435991
82,Antonplatz,13.4517416,52.5484803
83,Friesickestraße,13.4412466,52.5515316
84,Tino-Schwierzina-Straße,13.4348544,52.5622499
85,Am Wasserturm,13.4360911,52.5653634
86,Paul-Heyse-Straße,13.4447167,52.5291671
87,Bersarinplatz,13.4522943,52.5196343
88,Grünberger Straße/Warschauer Straße,13.452609,52.5122359
89,Kosanke-Siedlung,13.4847623,52.4971668
90,Gustav-Holzmann-Straße,13.4906093,52.4931464
91,Heizkraftwerk Klingenberg,13.495864,52.4881352
92,S Karlshorst,13.5251316,52.481264
93,Treskowallee/HTW,13.5266007,52.4927665
94,S Friedrichsfelde Ost,13.5190656,52.5139723
95,Weiskopffstraße,13.5394706,52.4576241
96,U Seestraße,13.3516304,52.5502459
